"0","Country","Country_code","Series","Series_code","Year","Number"
"2695","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","11.4221209294953"
"2715","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","18.9620429899775"
"2735","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","43.2401295915032"
"2755","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","30.0312779226224"
"2775","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"2795","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","24.6432426389242"
"2815","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","24.4480466718043"
"2835","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","19.1415181626036"
"2855","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","50.5253067085658"
"2875","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"2895","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","14.5207304403646"
"2915","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"2935","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","5.49428379105126"
"2955","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","13.6452108254945"
"2975","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"2995","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","88.933219142314"
"3015","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"3035","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"3055","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","0"
"3075","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","23.5726095286545"
"3095","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","12.4872846951092"
"3115","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","202.054640921147"
"3135","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","32.2184977527921"
"3155","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","24.1114477856034"
