"","Year","Country","Production","Number"
"303","010","China","EmployProduction","48.7999992370605"
"304","015","China","EmployProduction","0"
"305","960","China","EmployProduction","0"
"306","965","China","EmployProduction","0"
"307","970","China","EmployProduction","0"
"308","975","China","EmployProduction","0"
"309","980","China","EmployProduction","0"
"310","985","China","EmployProduction","0"
"311","990","China","EmployProduction","9.89999961853027"
"312","995","China","EmployProduction","12.1999998092651"
"313","000","Hong Kong SAR, China","EmployProduction","79.4000015258789"
"314","005","Hong Kong SAR, China","EmployProduction","84.6999969482422"
"315","010","Hong Kong SAR, China","EmployProduction","80.0999984741211"
"316","015","Hong Kong SAR, China","EmployProduction","0"
"317","960","Hong Kong SAR, China","EmployProduction","0"
"318","965","Hong Kong SAR, China","EmployProduction","0"
"319","970","Hong Kong SAR, China","EmployProduction","0"
"320","975","Hong Kong SAR, China","EmployProduction","0"
"321","980","Hong Kong SAR, China","EmployProduction","48.4000015258789"
"322","985","Hong Kong SAR, China","EmployProduction","54"
"323","990","Hong Kong SAR, China","EmployProduction","62.4000015258789"
"324","995","Hong Kong SAR, China","EmployProduction","72.4000015258789"
"325","000","Indonesia","EmployProduction","37.2999992370605"
"326","005","Indonesia","EmployProduction","37.2000007629395"
"327","010","Indonesia","EmployProduction","42.2999992370605"
"328","015","Indonesia","EmployProduction","0"
"329","960","Indonesia","EmployProduction","0"
"330","965","Indonesia","EmployProduction","0"
"331","970","Indonesia","EmployProduction","0"
"332","975","Indonesia","EmployProduction","0"
"333","980","Indonesia","EmployProduction","30.3999996185303"
"334","985","Indonesia","EmployProduction","31.7999992370605"
"335","990","Indonesia","EmployProduction","30.2000007629395"
"336","995","Indonesia","EmployProduction","37.5999984741211"
"337","000","Japan","EmployProduction","63.0999984741211"
"338","005","Japan","EmployProduction","66"
"339","010","Japan","EmployProduction","69.5"
"340","015","Japan","EmployProduction","0"
"341","960","Japan","EmployProduction","0"
"342","965","Japan","EmployProduction","0"
"343","970","Japan","EmployProduction","0"
"344","975","Japan","EmployProduction","0"
"345","980","Japan","EmployProduction","54"
"346","985","Japan","EmployProduction","56"
"347","990","Japan","EmployProduction","58.2000007629395"
"348","995","Japan","EmployProduction","60.4000015258789"
"349","000","Korea, Rep.","EmployProduction","61.2000007629395"
"350","005","Korea, Rep.","EmployProduction","65.1999969482422"
"351","010","Korea, Rep.","EmployProduction","68.5"
"352","015","Korea, Rep.","EmployProduction","0"
"353","960","Korea, Rep.","EmployProduction","0"
"354","965","Korea, Rep.","EmployProduction","0"
"355","970","Korea, Rep.","EmployProduction","0"
"356","975","Korea, Rep.","EmployProduction","0"
"357","980","Korea, Rep.","EmployProduction","37"
"358","985","Korea, Rep.","EmployProduction","44.2999992370605"
"359","990","Korea, Rep.","EmployProduction","46.7000007629395"
"360","995","Korea, Rep.","EmployProduction","54.2999992370605"
"361","000","Lao PDR","EmployProduction","0"
"362","005","Lao PDR","EmployProduction","0"
"363","010","Lao PDR","EmployProduction","20.2000007629395"
"364","015","Lao PDR","EmployProduction","0"
"365","960","Lao PDR","EmployProduction","0"
"366","965","Lao PDR","EmployProduction","0"
"367","970","Lao PDR","EmployProduction","0"
"368","975","Lao PDR","EmployProduction","0"
"369","980","Lao PDR","EmployProduction","0"
"370","985","Lao PDR","EmployProduction","0"
"371","990","Lao PDR","EmployProduction","0"
"372","995","Lao PDR","EmployProduction","11.1000003814697"
"373","000","Myanmar","EmployProduction","0"
"374","005","Myanmar","EmployProduction","0"
"375","010","Myanmar","EmployProduction","0"
"376","015","Myanmar","EmployProduction","0"
"377","960","Myanmar","EmployProduction","0"
"378","965","Myanmar","EmployProduction","0"
"379","970","Myanmar","EmployProduction","0"
"380","975","Myanmar","EmployProduction","0"
"381","980","Myanmar","EmployProduction","23.1000003814697"
"382","985","Myanmar","EmployProduction","23.2999992370605"
"383","990","Myanmar","EmployProduction","21"
"384","995","Myanmar","EmployProduction","0"
"385","000","Philippines","EmployProduction","46.7000007629395"
"386","005","Philippines","EmployProduction","48.5"
"387","010","Philippines","EmployProduction","51.7999992370605"
"388","015","Philippines","EmployProduction","0"
"389","960","Philippines","EmployProduction","0"
"390","965","Philippines","EmployProduction","0"
"391","970","Philippines","EmployProduction","0"
"392","975","Philippines","EmployProduction","0"
"393","980","Philippines","EmployProduction","32.7999992370605"
"394","985","Philippines","EmployProduction","36.5"
"395","990","Philippines","EmployProduction","39.7000007629395"
"396","995","Philippines","EmployProduction","40.2999992370605"
"397","000","Singapore","EmployProduction","0"
"398","005","Singapore","EmployProduction","77.3000030517578"
"399","010","Singapore","EmployProduction","68.9000015258789"
"400","015","Singapore","EmployProduction","0"
"401","960","Singapore","EmployProduction","0"
"402","965","Singapore","EmployProduction","0"
"403","970","Singapore","EmployProduction","0"
"404","975","Singapore","EmployProduction","0"
"405","980","Singapore","EmployProduction","62.5999984741211"
"406","985","Singapore","EmployProduction","63.9000015258789"
"407","990","Singapore","EmployProduction","61.7000007629395"
"408","995","Singapore","EmployProduction","68.8000030517578"
"409","000","Thailand","EmployProduction","33.5999984741211"
"410","005","Thailand","EmployProduction","37.0999984741211"
"411","010","Thailand","EmployProduction","41"
"412","015","Thailand","EmployProduction","0"
"413","960","Thailand","EmployProduction","0"
"414","965","Thailand","EmployProduction","0"
"415","970","Thailand","EmployProduction","0"
"416","975","Thailand","EmployProduction","0"
"417","980","Thailand","EmployProduction","18.8999996185303"
"418","985","Thailand","EmployProduction","0"
"419","990","Thailand","EmployProduction","23"
"420","995","Thailand","EmployProduction","29.3999996185303"
"421","000","Vietnam","EmployProduction","22.2999992370605"
"422","005","Vietnam","EmployProduction","0"
"423","010","Vietnam","EmployProduction","0"
"424","015","Vietnam","EmployProduction","0"
"425","960","Vietnam","EmployProduction","0"
"426","965","Vietnam","EmployProduction","0"
"427","970","Vietnam","EmployProduction","0"
"428","975","Vietnam","EmployProduction","0"
"429","980","Vietnam","EmployProduction","0"
"430","985","Vietnam","EmployProduction","0"
"431","990","Vietnam","EmployProduction","0"
"432","995","Vietnam","EmployProduction","0"
